Xl_x	Xl_y	Xl_z	Vl_x	Vl_y	Vl_z
0.574169	-0.0451507	0.0735444	0.000728229	0.00148338	0.00102712
0.549897	-0.285965	0.160369	0.000104646	-0.000202836	0.000187924
0.549897	-0.285963	0.160366	-0.000544603	-0.00046737	-8.05884e-05
0.5499	-0.28596	0.160367	0.000107461	0.000735676	-0.000220338
0.549901	-0.285961	0.160367	0.00123408	0.00290995	-0.00136334
0.549903	-0.285959	0.160369	0.000281357	0.00474128	-0.00217206
0.549903	-0.28596	0.160369	0.000984059	0.00472667	-0.00208235
0.549904	-0.285957	0.160364	0.000881021	0.00388513	-0.00323136
0.549902	-0.28596	0.160364	-0.00016194	0.00201063	-0.00238217
0.549904	-0.285956	0.160361	0.0015377	0.00277815	-0.0024678
0.549906	-0.285957	0.160364	0.000935917	0.0020107	-0.00226556
0.549908	-0.285957	0.160364	0.000554604	0.00206957	-0.00301679
0.549908	-0.285956	0.160362	1.82227e-05	0.00206158	-0.00348592
0.54991	-0.285956	0.160362	-3.84483e-05	0.0015426	-0.00219927
0.549909	-0.28596	0.160366	-0.000457552	-0.000477521	-0.000242383
0.549912	-0.285954	0.160366	0.000397097	0.00176031	-0.000526003
0.549911	-0.285954	0.160364	-0.000411165	0.000788701	-0.000954125
0.549914	-0.285956	0.160369	0.00112569	0.00216744	8.80382e-05
0.549915	-0.28595	0.160364	0.001312	0.00301825	-0.00155368
0.549913	-0.285954	0.160365	0.00049718	0.00115461	-0.000780751
0.549915	-0.285949	0.160365	0.000458661	0.00195422	-0.000258674
0.549914	-0.285954	0.160366	0.000886836	-0.000905276	0.00118601
0.549916	-0.285951	0.160366	0.00128596	0.000955727	9.10043e-05
0.549916	-0.28595	0.160367	0.000970082	0.000663267	0.00110289
0.54992	-0.285946	0.160366	0.0012336	0.00188979	-0.000788647
0.54992	-0.28595	0.160373	0.00178815	-0.000365724	0.00285923
0.549918	-0.285952	0.16037	0.000771812	-0.000762615	0.00110147
0.549923	-0.285949	0.160376	0.00185599	0.000376419	0.00242926
0.549922	-0.285953	0.160372	0.00178481	-0.00100386	0.00116012
0.549923	-0.285947	0.160369	0.00122059	0.000962126	-0.000403382
0.549924	-0.285947	0.160373	0.00248861	0.00403902	1.30216e-05
0.549922	-0.28595	0.16037	0.000963521	0.00200255	-0.00129431
0.549927	-0.285948	0.160377	0.00182434	0.00192273	0.000889024
0.549928	-0.285947	0.160373	0.000967902	0.00151972	-0.000816005
0.549928	-0.28595	0.160374	0.00163328	0.000333016	0.00044185
0.54993	-0.285947	0.160374	0.0025823	0.00116509	0.00100791
0.549929	-0.285952	0.160374	0.00155536	-0.000214643	0.000312145
0.549931	-0.285951	0.160379	0.000940881	-4.03791e-05	0.00130823
0.549933	-0.285949	0.160376	0.00248169	0.000177877	0.00108402
0.549936	-0.285944	0.160376	0.00187917	0.00176307	8.70722e-05
0.549938	-0.285949	0.160382	0.00253571	-0.00065844	0.00276363
0.549937	-0.285951	0.16038	0.00132506	-0.000972797	0.00112586
0.549939	-0.285949	0.160378	0.000971882	-0.000130754	-0.00028714
0.549942	-0.285949	0.160382	0.00246988	-0.000403784	0.00185111
0.549944	-0.285953	0.160389	0.00182288	-0.00126741	0.00280594
0.54994	-0.285957	0.160384	-0.000616162	-0.00221091	-0.000134213
0.549947	-0.28595	0.160388	0.00277218	0.00199637	0.00156236
0.549947	-0.285951	0.160386	0.00125858	0.000414966	0.000377098
0.549948	-0.28595	0.160388	0.00074267	0.000348564	0.000429149
0.549953	-0.285946	0.160393	0.0025525	0.00156601	0.00245001
0.549954	-0.285948	0.160391	0.00155985	0.000539347	0.000604018
0.549953	-0.285956	0.160395	0.000512052	-0.00170277	0.000960572
0.549957	-0.285953	0.160401	0.00221715	-0.000878142	0.00372089
0.549956	-0.285953	0.160396	0.000775434	-0.000508269	0.000624458
0.549958	-0.285953	0.160395	0.00180621	-0.000579356	0.000528538
0.549959	-0.285957	0.1604	0.00118225	-0.00149348	0.00169787
0.549963	-0.285956	0.160403	0.00186512	-0.000634915	0.00176847
0.549965	-0.285955	0.160404	0.00148231	0.000153754	0.00152121
0.549967	-0.285957	0.160407	-0.000281994	-0.00378498	0.00232969
0.549969	-0.285956	0.16041	-8.51976e-05	-0.00226629	0.00222291
0.549972	-0.285954	0.160409	6.48432e-05	-0.00125143	0.000381114
0.549974	-0.285954	0.160412	5.1352e-05	-0.000922064	0.00121832
0.549975	-0.285958	0.160415	-0.000710077	-0.00175247	0.00031741
0.549976	-0.285961	0.16042	-0.000674766	-0.00225006	0.00137638
0.54998	-0.285962	0.160425	-0.000188222	-0.00155353	0.00167107
0.549982	-0.285961	0.160422	0.000792928	-0.000789642	0.000439956
0.549986	-0.285963	0.160429	0.00223663	-0.00139663	0.00284372
0.549988	-0.285965	0.160429	0.00174204	-0.00103963	0.00151883
0.549989	-0.285966	0.160432	0.00195133	-0.000864393	0.00203565
0.549991	-0.285968	0.160432	0.00140868	-0.00113873	0.00112253
0.549992	-0.285971	0.160437	0.00168283	-0.00203986	0.0027048
0.549995	-0.28597	0.16044	0.00257113	-0.000452319	0.00297344
0.550001	-0.285964	0.160439	0.00369779	0.00139168	0.00194939
0.550003	-0.28597	0.160446	0.00365091	-0.00138298	0.00398538
0.550006	-0.285969	0.160447	0.00414308	-0.000720959	0.00379643
0.550008	-0.285972	0.160454	0.00418125	-0.00172317	0.00519382
0.550011	-0.285973	0.160457	0.00325716	-0.00126483	0.00420243
0.550015	-0.285972	0.160458	0.00398662	-0.000654782	0.0035447
0.550016	-0.285979	0.160462	0.0035588	-0.00275257	0.00422257
0.550019	-0.285977	0.160466	0.00265075	-0.00126448	0.00368719
0.550023	-0.285975	0.160466	0.00301844	0.000429806	0.00195671
0.550024	-0.285979	0.16047	0.0014568	-0.000722763	0.00157703
0.550029	-0.285981	0.160476	0.00388172	-0.00189465	0.00732036
0.55003	-0.285981	0.160476	0.00201853	-0.000605097	0.00423609
0.550036	-0.285977	0.160482	0.00408698	0.000707204	0.00518266
0.550038	-0.285984	0.160488	0.00258754	-0.00157514	0.00484914
0.550038	-0.285987	0.160486	0.00243422	-0.00180205	0.003174
0.550045	-0.285986	0.160493	0.00278941	-0.000844337	0.00378389
0.550047	-0.285986	0.160498	0.00186772	1.11331e-06	0.00301433
0.550049	-0.285988	0.160502	0.000891127	-0.000482327	0.00235262
0.550053	-0.285991	0.160505	0.00209287	-0.00114223	0.002527
0.550056	-0.285991	0.160506	0.0019015	-0.00265474	0.00291223
0.55006	-0.28599	0.160511	0.00161217	-0.00140424	0.00279317
0.550064	-0.285992	0.160519	0.00255346	-0.00190893	0.0047202
0.550069	-0.28599	0.160521	0.00307435	-0.000425388	0.00449218
0.550071	-0.285994	0.160522	0.00292903	-0.00155942	0.00412653
0.550075	-0.285994	0.16053	0.00376027	-0.000818031	0.00532717
0.550078	-0.285996	0.160531	0.00424512	-0.000981102	0.00419248
0.550083	-0.285993	0.160534	0.0044416	-0.000392494	0.00426398
0.550088	-0.285998	0.160545	0.00512957	-0.00115546	0.00645991
0.550088	-0.286	0.160542	0.00366871	-0.00196143	0.00399448
0.550094	-0.285999	0.16055	0.00530991	-0.000686486	0.00587305
0.550095	-0.286002	0.160548	0.00273409	-0.000988512	0.00221285
0.550102	-0.286003	0.160559	0.00423455	-0.000994968	0.00502667
0.550106	-0.286002	0.160561	0.00431306	-0.000441792	0.00390745
0.550108	-0.286001	0.16056	0.00478892	-0.000709638	0.00331883
0.550115	-0.286	0.160566	0.00567871	-0.000327799	0.00462045
0.550117	-0.286004	0.160571	0.00509006	-0.00156327	0.00524945
0.550121	-0.286004	0.160574	0.00401858	-0.000617005	0.00363193
0.550121	-0.28601	0.160576	0.00306109	-0.00211008	0.00340156
0.550128	-0.286006	0.160582	0.00441941	-0.000217594	0.00391836
0.550136	-0.286004	0.160589	0.00601011	0.000451511	0.00548529
0.550135	-0.286009	0.160588	0.00364606	-0.00135837	0.00311062
0.550143	-0.286009	0.160597	0.00527679	-0.000881159	0.00521742
0.550144	-0.286013	0.160599	0.00424254	-0.00177003	0.00441664
0.550151	-0.286012	0.160606	0.00456963	-0.00119059	0.00493877
0.550155	-0.286013	0.160608	0.00462202	-0.00116541	0.00398334
0.550156	-0.286016	0.160612	0.00235883	-0.00176183	0.00287001
0.550162	-0.286014	0.160616	0.00355972	-0.000433261	0.00324909
0.550167	-0.286015	0.160619	0.0039677	-0.000684845	0.00317051
0.550173	-0.286013	0.160625	0.00465563	0.000255826	0.00436627
0.550178	-0.286014	0.16063	0.00374346	-0.000485847	0.00323441
0.550181	-0.286017	0.160632	0.00339638	-0.00104466	0.0033245
0.550185	-0.286021	0.160639	0.00380912	-0.0025472	0.00480489
0.55019	-0.286019	0.160644	0.00327718	-0.00139104	0.00410806
0.550193	-0.286024	0.160648	0.00308559	-0.00227966	0.00410122
0.550197	-0.286025	0.16065	0.00330899	-0.00177049	0.00312589
0.550204	-0.286025	0.160657	0.004474	-0.00110609	0.00434658
0.550207	-0.286022	0.160659	0.00403912	0.000149302	0.00358803
0.550212	-0.286025	0.160662	0.00549229	-0.00151067	0.00486231
0.550218	-0.286023	0.160668	0.00561341	-0.000297429	0.00485372
0.550221	-0.286024	0.160668	0.00501497	-0.000532329	0.00355944
0.550226	-0.286029	0.160677	0.00472263	-0.00212523	0.0052896
0.550232	-0.286027	0.16068	0.00406125	-0.000819096	0.00378262
0.550237	-0.286028	0.160684	0.00459916	-0.00148944	0.0041197
0.550242	-0.286029	0.160689	0.0045213	-0.00130313	0.00458919
0.550246	-0.286029	0.16069	0.00468492	-0.000730855	0.00321913
0.550249	-0.286032	0.160697	0.00540199	-0.00145548	0.00553579
0.550255	-0.286034	0.160702	0.00570708	-0.00186784	0.00555272
0.550261	-0.286034	0.160707	0.00610749	-0.00117821	0.00559232
0.550264	-0.286033	0.160712	0.00403562	-0.000198543	0.00422539
0.55027	-0.286031	0.160711	0.00581501	-0.000250536	0.00391311
0.550272	-0.286039	0.160719	0.00459917	-0.00244326	0.0053725
0.550277	-0.286034	0.160717	0.00470214	-0.00033179	0.00321014
0.550285	-0.286038	0.160728	0.00716938	-0.00143762	0.00682003
0.550292	-0.286037	0.160738	0.00735759	-0.000849742	0.00811023
0.550294	-0.286039	0.160737	0.00587337	-0.00134748	0.00538078
0.550294	-0.286041	0.160738	0.00545959	-0.00173908	0.00505778
0.550304	-0.286038	0.160744	0.00721214	-0.000160238	0.0056093
0.550307	-0.286039	0.160747	0.00583002	-0.00032828	0.00479121
0.550313	-0.286042	0.160754	0.00583346	-0.00113959	0.00560905
0.550319	-0.286043	0.16076	0.00577277	-0.00111292	0.00507432
0.550322	-0.286043	0.160763	0.00489718	-0.000862785	0.0044177
0.550328	-0.286043	0.160765	0.00506272	-0.000927171	0.00410453
0.550334	-0.286046	0.160774	0.00576489	-0.00159447	0.0059365
0.550338	-0.286046	0.160777	0.00504163	-0.000730194	0.00481397
0.550343	-0.286047	0.160782	0.00507775	-0.00133612	0.00501245
0.55035	-0.286046	0.160788	0.00563405	-0.000210642	0.00520988
0.550353	-0.286049	0.16079	0.00466747	-0.000920045	0.00350282
0.550357	-0.286051	0.160798	0.00570468	-0.00156706	0.00590589
0.550364	-0.286056	0.160807	0.00498323	-0.00236866	0.00588748
0.550368	-0.286052	0.160806	0.00427667	-0.000131643	0.00320705
0.550375	-0.286053	0.160811	0.00496877	-0.000400926	0.00433231
0.550378	-0.286055	0.160815	0.00416779	-0.00101422	0.0036393
0.550382	-0.286054	0.160818	0.00428838	-0.000406645	0.00346558
0.55039	-0.286059	0.160828	0.00419302	-0.00239903	0.00480791
0.550392	-0.286059	0.160832	0.00349337	-0.00172274	0.00433553
0.550402	-0.286058	0.16084	0.00518821	-0.000654482	0.0053463
0.550406	-0.286057	0.160842	0.00482852	-0.00018245	0.00438844
0.550407	-0.286059	0.160842	0.00369598	-0.00134402	0.00328026
0.550414	-0.28606	0.160846	0.00387569	-0.00142318	0.00316637
0.550417	-0.286064	0.160854	0.00314165	-0.00224231	0.00391592
0.550424	-0.286064	0.160858	0.00441396	-0.00142865	0.00412548
0.550426	-0.286067	0.160862	0.00212071	-0.00192668	0.00259047
0.550436	-0.286066	0.160871	0.00427598	-0.000750637	0.00445669
0.55044	-0.286065	0.160872	0.00398476	-0.000197091	0.0030047
0.550443	-0.286065	0.160874	0.00373113	-0.000341154	0.00270452
0.550451	-0.286069	0.160885	0.00584655	-0.00187112	0.00631518
0.550458	-0.286066	0.160887	0.006052	-2.6933e-05	0.00477441
0.550462	-0.286067	0.160893	0.00637368	-0.000518986	0.00603039
0.550467	-0.286073	0.160902	0.00709689	-0.00244939	0.00801772
0.550471	-0.286074	0.160903	0.00624611	-0.00196256	0.00597162
0.550477	-0.286073	0.160909	0.00615597	-0.00112306	0.00556506
0.550483	-0.286074	0.160915	0.00617683	-0.001087	0.00548654
0.55049	-0.286079	0.160924	0.00627912	-0.00223122	0.00700288
0.550495	-0.286076	0.160927	0.00554637	-0.000631573	0.00493902
0.550502	-0.286079	0.160934	0.00686742	0.00204157	0.00416965
0.55051	-0.286076	0.160942	0.00719114	0.00228568	0.00538925
0.550513	-0.286081	0.160943	0.00676072	0.000310919	0.00454663
0.550519	-0.286079	0.160948	0.00746633	0.000942523	0.00543885
0.550526	-0.286083	0.160957	0.00593938	-0.000555304	0.00530951
0.550531	-0.286084	0.16096	0.00451998	0.000149899	0.00337131
0.550537	-0.286081	0.160965	0.00559558	0.000823519	0.00387088
0.550545	-0.286084	0.160973	0.00578102	-0.000254372	0.00523366
0.55055	-0.286085	0.160979	0.0055188	-0.000446332	0.00488984
0.550554	-0.286086	0.160981	0.00466137	-0.000506458	0.00359133
0.550564	-0.286087	0.160994	0.00576332	-0.000699169	0.00618865
0.550568	-0.286089	0.160994	0.00588981	-0.00143993	0.004836
0.550577	-0.286085	0.161001	0.00651204	0.000752113	0.00510809
0.550581	-0.28609	0.161006	0.00527096	-0.00131329	0.00507288
0.550589	-0.286089	0.161014	0.00631564	-0.000837649	0.00591463
0.550596	-0.286096	0.161026	0.0064096	-0.00248494	0.0076517
0.550601	-0.286094	0.161025	0.00640999	-0.00106116	0.00548903
0.550608	-0.286097	0.161032	0.00651678	-0.00159204	0.00563587
0.550619	-0.286091	0.161041	0.00839383	0.000911386	0.00675488
0.550622	-0.286097	0.161045	0.00707709	-0.00186217	0.00663037
0.550632	-0.286096	0.161052	0.00725797	-0.00109376	0.00637879
0.550638	-0.286098	0.161059	0.00663075	-0.00108478	0.00590479
0.550644	-0.286098	0.161064	0.00602866	-0.000545033	0.00520294
0.550652	-0.286097	0.161071	0.00711348	-0.000396122	0.00596511
0.550662	-0.286096	0.161079	0.00761197	0.000353	0.00640937
0.550664	-0.286102	0.161082	0.00550002	-0.00147112	0.00478513
0.550674	-0.286105	0.161094	0.00741815	-0.00213253	0.0076116
0.550687	-0.286109	0.161107	0.00682564	-0.00218932	0.00685962
0.550695	-0.286106	0.161113	0.00644851	-0.0002246	0.00567318
0.550703	-0.286109	0.161123	0.00636939	-0.000963055	0.00635446
0.550708	-0.28611	0.161123	0.00633934	-0.00107785	0.00504179
0.550719	-0.28611	0.161138	0.00802902	-0.00128669	0.00871053
0.550725	-0.28611	0.161139	0.0066777	-0.00128585	0.00528501
0.550732	-0.286114	0.161148	0.00751044	-0.00187658	0.00716604
0.55074	-0.28611	0.161154	0.00759538	0.000508639	0.0061807
0.550745	-0.286118	0.16116	0.00786962	-0.00289793	0.00762808
0.550752	-0.286119	0.161169	0.00869604	-0.0025499	0.00898377
