Xl_x	Xl_y	Xl_z	Vl_x	Vl_y	Vl_z
0.371921	-0.401212	0.366961	-0.000620812	0.000185658	-0.00112957
0.371946	-0.401197	0.366906	-0.000108965	-0.000512299	-0.000657709
0.631569	0.145114	0.336422	7.91502e-05	-0.00136336	-0.000889984
0.63157	0.145116	0.336425	0.000411777	0.000451924	0.000610517
0.631569	0.145117	0.336424	-0.000170105	0.000222195	0.000135237
0.631569	0.145119	0.336427	-1.89677e-05	0.000788966	0.00111032
0.631569	0.145121	0.336424	-0.000146434	0.00102036	-0.00102528
0.631568	0.145119	0.336425	-0.000241047	6.45615e-05	1.14933e-05
0.631569	0.145116	0.336423	0.00094719	-0.00449095	-0.00048228
0.631568	0.145117	0.336424	0.000503567	-0.0033711	-0.000172065
0.631569	0.145119	0.336428	0.000721872	-0.00195523	0.0012996
0.631571	0.145115	0.336425	0.000959808	-0.00242213	0.000114968
0.631569	0.145119	0.336423	-0.000128074	-0.000144316	-0.000167718
0.631569	0.145115	0.336423	0.000106139	-0.00199403	-0.000530043
0.631569	0.145115	0.336425	4.31826e-05	-0.00136857	0.000219759
0.631569	0.145117	0.336426	0.00013648	-0.000445831	0.00054322
0.631568	0.145123	0.336424	-4.08857e-06	0.00149958	-0.000911476
0.631568	0.145119	0.336422	-0.00023717	-0.000271298	-0.000872104
0.631569	0.145123	0.336423	0.000352756	0.00108123	0.000125568
0.631568	0.145121	0.336423	-0.000132429	-9.97061e-05	-0.000202385
0.631569	0.145114	0.336423	0.000163713	-0.00224198	-1.73239e-05
0.631569	0.145118	0.336423	8.65694e-05	-0.000316664	-0.000132476
0.63157	0.145116	0.336427	0.000260989	-0.000849673	0.00110627
0.631569	0.145118	0.336425	4.37757e-05	1.44795e-05	0.00013614
0.63157	0.145121	0.336426	0.00017763	0.0012353	0.000337612
0.631568	0.145119	0.336426	-0.000350754	0.000705441	0.000529826
0.631569	0.145119	0.336425	0.000130533	-3.69975e-05	0.000168834
0.631568	0.145122	0.336423	-0.000350253	0.000971907	-0.00081754
0.631569	0.145117	0.336423	0.000139315	-0.000975434	-0.000547669
0.631568	0.145119	0.336428	-7.56902e-05	-0.000101146	0.00135366
0.631567	0.145119	0.336426	-0.000290522	-7.44756e-05	-0.000118965
