Xl_x	Xl_y	Xl_z	Vl_x	Vl_y	Vl_z
0.559842	-0.0580097	0.0454722	0.00050652	-1.87139e-05	0.000868776
0.553386	-0.300195	0.152486	0.000294147	0.000421605	0.000123498
0.553385	-0.300191	0.152481	2.42441e-05	0.00136979	-0.00131046
0.553386	-0.300198	0.152488	0.000229046	-0.00131385	0.000770959
0.553386	-0.300197	0.152488	-3.04628e-05	-0.00027613	0.000783106
0.553383	-0.300197	0.152483	-0.000838837	-4.3837e-05	-0.00127939
0.553384	-0.300198	0.15249	-0.00053688	-0.0010683	0.000974929
0.553383	-0.300195	0.152482	-0.000644278	0.000436097	-0.00144508
0.553385	-0.300195	0.152486	0.000371297	0.000590607	0.000320206
0.553382	-0.300199	0.152486	-0.000696999	-0.000923182	0.000212013
0.553383	-0.300198	0.152482	-0.000145574	-0.000273233	-0.00108823
0.553385	-0.300196	0.152486	0.000620558	0.000819405	0.000573824
0.553384	-0.300198	0.152486	0.000162829	9.23474e-05	0.000378216
0.553384	-0.300198	0.152487	0.000103471	1.38891e-05	0.000366969
0.553387	-0.300197	0.15249	0.000914412	-0.000198407	0.0014426
0.553384	-0.300196	0.152486	-0.000365199	0.000631563	-0.000693959
0.553384	-0.300197	0.152485	-0.000313142	-0.000134017	-0.000569313
0.553387	-0.300195	0.152489	0.001024	0.000833183	0.00083208
0.553384	-0.300196	0.152485	-0.000261157	0.000155451	-0.000748703
0.553386	-0.300197	0.152488	0.000261196	1.17857e-05	0.000203275
0.553387	-0.300196	0.152487	0.000421591	-6.79797e-05	7.92166e-05
0.553386	-0.300195	0.152483	0.000158615	0.000490795	-0.00114672
0.553384	-0.300198	0.152485	-0.000474515	-0.000585844	-0.000240138
0.553388	-0.300192	0.152485	0.00106529	0.00149054	0.000104907
0.553384	-0.300196	0.152484	-0.000738447	-0.000330249	-0.000344751
0.553387	-0.300194	0.152488	0.000479718	0.000136534	0.00121577
0.553384	-0.300195	0.152484	0.000202456	-0.000353211	0.0029054
0.553387	-0.300192	0.152487	0.00127827	0.000680134	0.00309673
0.553388	-0.300197	0.152492	0.00142849	-0.000772948	0.00416127
0.553384	-0.300196	0.152486	-2.86612e-05	-0.00032937	0.0011061
0.553389	-0.300192	0.152487	0.00140118	0.00111394	0.00121542
0.553388	-0.300191	0.152487	0.000274616	0.000882267	0.000364559
0.553387	-0.300195	0.152488	0.000118665	-0.000460598	0.000817294
0.553387	-0.300192	0.152486	0.000351735	0.000192324	0.000489142
0.553388	-0.300191	0.152483	0.000513851	0.000592965	-0.000473881
0.553386	-0.300195	0.152486	-0.000702326	-0.0010612	-5.37365e-05
0.553387	-0.300196	0.152487	-0.000215129	-0.00128241	0.000652929
0.553387	-0.300192	0.152483	5.80734e-05	0.000746119	-0.000665033
0.553389	-0.300193	0.152488	0.000714374	0.000372675	0.000941984
0.553388	-0.300194	0.152488	0.000253003	-0.00025885	0.000777358
0.553388	-0.30019	0.152485	0.000101515	0.000920516	-0.000621875
0.553389	-0.30019	0.152485	8.81447e-05	0.000632279	-0.000305501
0.553386	-0.300193	0.152484	-0.000969518	-0.000499193	-0.000998808
