Xl_x	Xl_y	Xl_z	Vl_x	Vl_y	Vl_z
0.548396	-0.318721	0.191413	0.000307852	-0.000100185	0.000330006
0.563814	-0.0256695	0.292591	-0.000116815	-0.000155659	0.00064388
0.563814	-0.0256699	0.292592	-7.66255e-05	-7.66978e-05	0.000428709
0.563815	-0.0256701	0.292592	0.000167031	-5.94612e-05	0.000599037
0.563815	-0.0256687	0.292593	0.000230568	0.000448804	0.000968635
0.563815	-0.0256686	0.292588	0.000314465	0.00034793	-0.00103328
0.563813	-0.0256669	0.292589	-0.000579169	0.000820312	-0.000766633
0.563815	-0.0256686	0.292592	0.000209898	-2.18545e-05	0.000754374
0.563815	-0.0256732	0.29259	3.05926e-05	-0.00156589	-3.78462e-05
0.563816	-0.0256658	0.292591	-0.000135377	0.00107351	-0.00354148
0.563814	-0.02567	0.292588	-0.000526062	-0.00081371	-0.00358121
0.563814	-0.0256638	0.292588	-0.000244678	0.00149897	-0.00257347
0.563814	-0.0256667	0.292589	-0.000211769	7.06601e-06	-0.00139477
0.563813	-0.0256694	0.292589	-0.000473758	-0.000501756	-0.000943192
0.563815	-0.0256684	0.292592	0.000312432	0.0001414	5.43776e-05
0.563815	-0.0256716	0.292594	-7.99951e-05	-0.000928247	0.000553834
0.563814	-0.0256657	0.292589	-0.000120664	0.00095476	-0.00120022
0.563815	-0.025667	0.292591	0.00123132	0.00013958	0.000434488
0.563815	-0.0256669	0.292595	0.00103758	8.24778e-05	0.00143964
0.563815	-0.025668	0.292591	0.000618486	6.63075e-05	-0.000103581
0.563815	-0.0256672	0.292592	0.000494904	4.86004e-05	0.000466734
0.563815	-0.0256684	0.29259	0.000335257	-0.000482877	-0.000164452
0.563815	-0.025664	0.292589	0.000298007	0.000715485	-7.50646e-05
0.563814	-0.0256665	0.292592	-7.24629e-05	-7.15457e-05	0.000561821
0.563817	-0.025668	0.292594	0.000908448	-6.42192e-05	0.00108289
0.563816	-0.0256684	0.292591	0.00024529	-1.24134e-05	-0.000212086
0.563816	-0.0256689	0.292592	0.000176182	-0.00052895	-0.000112376
0.563815	-0.0256681	0.292589	-0.000194536	0.000193625	-0.000966057
0.563815	-0.0256673	0.292593	-7.37266e-05	0.000109877	0.000871279
0.563815	-0.0256653	0.29259	-3.608e-05	0.000611092	-0.00040842
0.563816	-0.0256653	0.292596	5.85334e-05	0.000384741	0.00122796
0.563815	-0.0256638	0.29259	-4.59168e-05	0.000749114	-0.000703873
0.563814	-0.0256679	0.292592	-0.000305871	-0.000476577	0.000181587
0.563815	-0.0256672	0.292592	6.53191e-05	-0.000337584	-1.69941e-05
0.563814	-0.0256653	0.292589	-0.000305101	0.000314483	-0.000922679
0.563815	-0.0256668	0.292592	8.65059e-05	-0.000331277	0.000244499
0.563814	-0.0256667	0.292586	-0.000298523	-0.000179505	-0.00173263
0.563816	-0.0256665	0.292593	0.000270753	0.000362732	0.000828455
0.563814	-0.0256683	0.292591	-0.000176617	-0.000262669	0.000144802
0.563814	-0.0256642	0.292588	-0.00011835	0.000832172	-0.000922246
0.563814	-0.0256653	0.292591	-2.58159e-05	7.09006e-05	0.000428853
0.563815	-0.0256622	0.292591	3.35177e-07	0.0010361	0.000271634
0.563814	-0.0256651	0.292588	-0.000119807	-0.000287273	-0.000872801
0.563815	-0.0256684	0.292595	0.000322266	-0.00127516	0.00182566
0.563814	-0.0256667	0.29259	-0.000206201	-0.000290824	-0.000706779
0.563815	-0.0256652	0.29259	0.000224019	0.000303607	-4.99815e-05
0.563816	-0.0256653	0.292593	0.000520131	0.000175685	0.000896189
0.563814	-0.0256664	0.292587	-0.000674593	0.000144448	-0.00163017
0.563816	-0.0256627	0.292593	0.000283812	0.0010797	0.000743525
0.563815	-0.0256651	0.292592	-8.02059e-05	0.000225078	0.000154771
0.563814	-0.0256668	0.292589	-0.000181098	-0.000311186	-0.000968129
0.563814	-0.0256688	0.292591	-9.45426e-05	-0.00125873	0.000387695
0.563815	-0.0256638	0.29259	0.000217412	0.00069985	8.80924e-05
0.563815	-0.0256684	0.292589	6.71458e-05	-0.00108653	-0.000456041
0.563815	-0.0256637	0.292589	0.000145541	0.000837197	-0.00025858
0.563812	-0.0256693	0.292584	-0.000956251	-0.00093789	-0.00187822
0.563817	-0.0256689	0.292594	0.00106053	-0.000747237	0.00228066
0.563814	-0.0256649	0.292589	-0.000173467	0.00113089	-0.000129546
0.563814	-0.0256668	0.292589	-0.000200653	0.000239546	-0.000159651
0.563813	-0.0256684	0.292589	-0.000458066	-0.00034177	-5.90023e-06
0.563814	-0.0256673	0.292589	-4.8875e-06	-0.000250612	-0.000104433
0.563815	-0.0256685	0.292594	1.48795e-05	-0.000695424	0.000935683
0.563817	-0.0256701	0.292594	0.000591333	-0.00102535	0.000895883
0.563815	-0.0256684	0.29259	6.5782e-06	-0.000128771	-0.000857082
0.563816	-0.0256669	0.292596	0.000510762	0.000393202	0.00188461
0.563815	-0.0256699	0.29259	-0.000158372	-0.000732682	-0.00118224
0.563816	-0.0256654	0.292595	0.000103826	0.00100896	0.000812216
0.563815	-0.0256679	0.292589	-0.000123892	0.000215228	-0.00107628
0.563814	-0.0256639	0.292591	-0.00047813	0.00121622	-0.000338987
0.563815	-0.0256665	0.292592	0.000235605	0.000248648	0.000501841
0.563814	-0.0256668	0.292591	-0.000175991	0.000180342	-6.27164e-05
0.563816	-0.0256686	0.292593	0.000468897	-0.000442643	0.000713865
0.563814	-0.0256685	0.292591	-0.000237798	-0.000247835	-0.000237698
0.563816	-0.025669	0.292594	0.000404695	-0.000735545	0.0010665
0.563816	-0.0256733	0.292594	0.000226105	-0.00205274	0.000725263
0.563815	-0.0256699	0.29259	-0.000209029	-0.000295475	-0.000957345
0.563815	-0.0256668	0.292592	-5.40337e-05	0.000839339	-0.000106082
0.563815	-0.0256699	0.29259	-0.000398294	-0.00045471	-0.000961165
0.563815	-0.0256652	0.292591	0.00027698	0.00475897	-0.000176746
0.563816	-0.0256684	0.292595	0.000529371	0.00239892	0.00129376
0.563815	-0.0256667	0.292591	-0.000287939	0.00237978	-0.00042477
0.563815	-0.0256664	0.292589	9.88513e-05	0.00226396	-0.000915671
0.563816	-0.0256731	0.292594	0.000119268	-0.000468385	0.000974676
0.563816	-0.0256701	0.292591	0.000992001	0.000880459	0.000413392
0.563816	-0.0256686	0.292593	0.00111432	0.00115117	0.00126451
0.563815	-0.0256717	0.29259	0.000513282	-0.000804348	-0.000151683
0.563815	-0.0256731	0.292593	0.000244106	-0.00101081	0.00069537
0.563815	-0.0256714	0.29259	0.000139523	-0.000118577	-0.000556563
0.563815	-0.0256711	0.292592	0.000120136	0.000442607	0.000620122
0.563814	-0.025669	0.292586	-0.000289502	0.000346223	-0.00149396
0.563814	-0.0256676	0.292587	-0.000128018	0.00127557	-0.000481757
0.563815	-0.0256686	0.292592	0.000310415	0.000309054	0.00113011
0.563815	-0.0256685	0.292591	0.000143891	0.000220353	0.000199023
0.563814	-0.0256679	0.292591	-8.2832e-05	0.000688463	0.000338427
0.563814	-0.0256652	0.292588	-0.000137437	0.00150672	-0.000846476
0.563813	-0.0256668	0.292588	0.000648951	0.000501607	0.000475712
0.563815	-0.0256686	0.292593	0.00117787	-0.000230471	0.00218025
0.563817	-0.0256675	0.292593	0.00138592	-0.000156354	0.00125123
0.563814	-0.0256728	0.292591	1.966e-05	-0.00158725	0.000206949
0.563815	-0.0256689	0.292596	0.000474105	-5.72768e-05	0.00157485
0.563813	-0.0256715	0.292588	-0.000400061	-0.00104815	-0.0016842
0.563814	-0.0256695	0.292591	0.000120647	0.000310874	0.000268998
0.563815	-0.0256687	0.29259	0.000392005	0.000192395	7.84969e-05
0.563814	-0.0256699	0.29259	-0.000324443	-0.000360003	-0.000181888
0.563814	-0.025668	0.292589	8.02028e-05	0.000781606	-0.000266783
0.563816	-0.0256672	0.292592	0.000698717	0.000478977	0.000618438
0.563813	-0.025673	0.292588	-0.000289326	-0.00173079	0.00278686
0.563815	-0.0256656	0.292591	0.000510777	0.000875568	0.00292862
0.563814	-0.0256707	0.292591	1.08665e-05	-0.000443301	0.00227657
0.563814	-0.0256701	0.292591	5.24558e-05	-0.000292814	0.00170288
0.563815	-0.0256668	0.292589	0.000292087	0.000836724	0.000572782
0.563813	-0.0256694	0.292588	-0.000302176	7.2033e-05	0.000322515
0.563814	-0.0256699	0.29259	-5.03705e-05	-0.0034855	0.00108195
0.563814	-0.0256669	0.292587	-0.000106305	-0.00155843	-0.000786437
0.563815	-0.0256686	0.29259	0.00024077	-0.00181185	0.000415981
0.563814	-0.0256669	0.292585	-0.000200581	-0.000814619	-0.00112275
0.563814	-0.0256716	0.292588	-0.000135286	-0.00224322	0.000304588
0.563815	-0.0256705	0.29259	0.000249316	-0.00161708	0.00112283
0.563815	-0.0256701	0.292592	0.000173333	-0.00115689	0.00126715
0.563813	-0.0256651	0.292585	-0.000499529	0.000799038	-0.000956335
0.563814	-0.0256652	0.29259	7.41696e-05	0.000457718	0.000830345
0.563815	-0.0256683	0.29259	0.000300837	-0.000787261	0.000447362
0.563816	-0.0256668	0.292597	0.000238391	-2.95197e-05	0.00171378
0.563815	-0.0256668	0.292593	0.000148463	-2.94006e-05	0.000216702
0.563815	-0.0256711	0.29259	1.27574e-05	-0.00106415	-0.000396049
0.563815	-0.0256652	0.292589	-0.000937462	0.00132354	-0.0016298
0.563815	-0.0256704	0.29259	-0.000773934	-0.00120419	-0.00116188
0.563815	-0.0256697	0.292592	-0.000512145	-0.000302784	0.000197555
0.563814	-0.0256699	0.292589	-0.000791259	-0.000185293	-0.000865921
0.563815	-0.0256686	0.292592	-0.000223969	0.000356965	0.000293243
